Area;Year;Area Type;Region;State Code;Population (Population)
Wayne County, MI;2014;County;MI;26;1771679
Lapeer County, MI;2015;County;MI;26;88368
Livingston County, MI;2015;County;MI;26;187171
Macomb County, MI;2015;County;MI;26;864960
Oakland County, MI;2015;County;MI;26;1244602
St. Clair County, MI;2015;County;MI;26;159700
Wayne County, MI;2015;County;MI;26;1764872
Lapeer County, MI;2016;County;MI;26;88171
Livingston County, MI;2016;County;MI;26;188547
Macomb County, MI;2016;County;MI;26;868534
Oakland County, MI;2016;County;MI;26;1251027
St. Clair County, MI;2016;County;MI;26;159369
Wayne County, MI;2016;County;MI;26;1760612
Lapeer County, MI;2017;County;MI;26;88122
Livingston County, MI;2017;County;MI;26;189869
Macomb County, MI;2017;County;MI;26;871364
Oakland County, MI;2017;County;MI;26;1256016
St. Clair County, MI;2017;County;MI;26;159005
Wayne County, MI;2017;County;MI;26;1757217
Lapeer County, MI;2018;County;MI;26;87921
Livingston County, MI;2018;County;MI;26;191190
Macomb County, MI;2018;County;MI;26;872795
Oakland County, MI;2018;County;MI;26;1256694
St. Clair County, MI;2018;County;MI;26;159031
Wayne County, MI;2018;County;MI;26;1754453
Lapeer County, MI;2019;County;MI;26;87607
Livingston County, MI;2019;County;MI;26;191995
Macomb County, MI;2019;County;MI;26;873972
Oakland County, MI;2019;County;MI;26;1257584
St. Clair County, MI;2019;County;MI;26;159128
Wayne County, MI;2019;County;MI;26;1749343
