X,Y,record_id,date_status,parcel_id,lon,lat,ObjectId,street_num,street_dir,street_name,address_id
-82.939845,42.395381,RNT2019-01331,2019/02/22 00:00:00+00,21069666.,-82.939845,42.395381,30498,4168,,BUCKINGHAM,311384
-83.203441,42.39246,RNT2019-01332,2019/02/22 00:00:00+00,22055931.,-83.203441,42.39246,30499,14350,,RUTHERFORD,152397
-83.24154,42.406342,RNT2019-01333,2019/02/22 00:00:00+00,22101302.,-83.24154,42.406342,30500,15818,,STOUT,118938
-83.238797,42.4018,RNT2019-01337,2019/02/25 00:00:00+00,22098294.,-83.238797,42.4018,30501,15351,,VAUGHAN,128550
-83.026913,42.342857,RNT2019-01356,2019/02/25 00:00:00+00,09000751-994,-83.026913,42.342857,30502,1325,,CHENE,249796
-82.958283,42.431697,RNT2019-01359,2020/04/02 00:00:00+00,21018646.,-82.958283,42.431697,30503,15747,,Linnhurst,223243
-83.250351,42.436108,RNT2019-01360,2019/02/25 00:00:00+00,22108649.051,-83.250351,42.436108,30504,19795,,TRINITY,98282
-83.238623,42.434017,RNT2019-01365,2019/02/25 00:00:00+00,22095948.,-83.238623,42.434017,30505,19450,,EVERGREEN,102375
-83.225751,42.434349,RNT2019-01368,2019/02/25 00:00:00+00,22080164.,-83.225751,42.434349,30506,19455,,GREENVIEW,117121
-83.258396,42.441022,RNT2019-01369,2019/02/25 00:00:00+00,22113591-2,-83.258396,42.441022,30507,20282,,LAHSER,95951
-82.928931,42.403181,RNT2019-01372,2019/02/25 00:00:00+00,21074415.,-82.928931,42.403181,30508,4472,,HARVARD,321553
-83.241494,42.442695,RNT2019-01373,2019/02/25 00:00:00+00,22099401.,-83.241494,42.442695,30509,20540,,HEYDEN,96746
-83.117815,42.356567,RNT2019-01375,2019/02/25 00:00:00+00,14001943.,-83.117815,42.356567,30510,4507,,ALLENDALE,193650
-83.067063,42.327956,RNT2019-01377,2019/02/25 00:00:00+00,08000246-346,-83.067063,42.327956,30511,1661,,BAGLEY,247262
,,RNT2019-01379,2019/02/25 00:00:00+00,,,,30512,19351,,RYAN,
-83.162389,42.352318,RNT2019-01380,2019/02/25 00:00:00+00,18017078.,-83.162389,42.352318,30513,8043,,MIDDLEPOINT,190709
-83.133135,42.326015,RNT2019-01382,2019/02/25 00:00:00+00,18001965.,-83.133135,42.326015,30514,7430,,WALDO,158649
-83.257868,42.414414,RNT2019-01389,2019/02/26 00:00:00+00,22013340-4,-83.257868,42.414414,30515,22009,WEST,MCNICHOLS,109370
-83.212089,42.345444,RNT2019-01397,2019/02/26 00:00:00+00,22068463-81,-83.212089,42.345444,30516,7260,,RUTLAND,175437
-83.211872,42.344355,RNT2019-01399,2019/02/26 00:00:00+00,22068463-81,-83.211872,42.344355,30517,7232,,RUTLAND,174943
-83.211896,42.344947,RNT2019-01400,2019/02/26 00:00:00+00,22068463-81,-83.211896,42.344947,30518,7248,,RUTLAND,175261
-83.273699,42.383754,RNT2019-01401,2020/07/21 00:00:00+00,22122072.,-83.273699,42.383754,30519,13519,,Riverview,114420
,,RNT2019-01402,2020/07/21 00:00:00+00,,,,30520,13527,,Dale,
-83.212736,42.344339,RNT2019-01403,2019/02/26 00:00:00+00,22068463-81,-83.212736,42.344339,30521,7222,,RUTLAND,215078
-83.262517,42.390356,RNT2019-01404,2020/07/22 00:00:00+00,22009873.173,-83.262517,42.390356,30522,22451,,Acacia,135736
-83.212263,42.34431,RNT2019-01405,2019/02/26 00:00:00+00,22068463-81,-83.212263,42.34431,30523,7228,,RUTLAND,174836
-83.212292,42.344913,RNT2019-01406,2019/02/26 00:00:00+00,22068463-81,-83.212292,42.344913,30524,7244,,RUTLAND,174601
-83.212394,42.344617,RNT2019-01407,2019/02/26 00:00:00+00,22068463-81,-83.212394,42.344617,30525,7236,,RUTLAND,175029
-83.241879,42.401087,RNT2019-01408,2020/07/21 00:00:00+00,22101771.,-83.241879,42.401087,30526,15319,,Stout,128154
-83.162393,42.383903,RNT2019-01410,2020/07/21 00:00:00+00,16041762.,-83.162393,42.383903,30527,13119,,Griggs,214560
-83.12903,42.383386,RNT2019-01412,2020/07/20 00:00:00+00,14004659.,-83.12903,42.383386,30528,3809,,Sturtevant,77683
-83.267637,42.435085,RNT2019-01413,2019/02/26 00:00:00+00,22017601.008L,-83.267637,42.435085,30529,22669,,FRISBEE,130100
-83.245412,42.407892,RNT2019-01414,2020/07/22 00:00:00+00,22105648.,-83.245412,42.407892,30530,16107,,Braile,118888
-83.267292,42.408409,RNT2019-01415,2020/07/22 00:00:00+00,22119395.002L,-83.267292,42.408409,30531,16129,,Parkway,131349
-82.948416,42.412786,RNT2019-01416,2019/02/26 00:00:00+00,21071623.,-82.948416,42.412786,30532,9421,,COURVILLE,296701
-83.260083,42.435679,RNT2019-01417,2020/07/22 00:00:00+00,22115310.,-83.260083,42.435679,30533,19779,,Cooley,107971
-83.235638,42.425637,RNT2019-01418,2019/02/26 00:00:00+00,22091979.,-83.235638,42.425637,30534,18471,,ANNCHESTER,103796
-83.171049,42.419189,RNT2019-01419,2019/02/26 00:00:00+00,22021179.,-83.171049,42.419189,30535,17344,,APPOLINE,19919
-83.216379,42.384548,RNT2019-01420,2019/02/26 00:00:00+00,22071954.,-83.216379,42.384548,30536,13501,,ARCHDALE,148195
-83.244295,42.437831,RNT2019-01421,2020/07/22 00:00:00+00,22101528.,-83.244295,42.437831,30537,19953,,Stout,102165
-83.216323,42.41448,RNT2019-01422,2019/02/26 00:00:00+00,22071340.,-83.216323,42.41448,30538,16844,,ARCHDALE,146563
-83.216718,42.425453,RNT2019-01423,2019/02/26 00:00:00+00,22071397.,-83.216718,42.425453,30539,18452,,ARCHDALE,80265
-83.185293,42.438983,RNT2019-01424,2019/02/26 00:00:00+00,22034872.,-83.185293,42.438983,30540,19954,,ARDMORE,21318
,,RNT2019-01426,2019/02/27 00:00:00+00,,,,30541,13510,,ASBURY PARK,
,,RNT2019-01430,2019/02/27 00:00:00+00,,,,30542,15375,,ASBURY PARK,
,,RNT2019-01442,2019/02/27 00:00:00+00,,,,30543,17647,,AVON,
-83.249344,42.426091,RNT2019-01445,2019/02/27 00:00:00+00,22108635.001,-83.249344,42.426091,30544,18530,,TRINITY,95544
-82.949186,42.432139,RNT2019-01447,2019/02/27 00:00:00+00,21058000.,-82.949186,42.432139,30545,12652,,LAING,307691
-82.960325,42.417705,RNT2019-01449,2019/02/27 00:00:00+00,21071614.,-82.960325,42.417705,30546,11087,,COURVILLE,304065
-82.932731,42.412777,RNT2019-01451,2019/02/27 00:00:00+00,21075417.,-82.932731,42.412777,30547,5790,,OLDTOWN,306549
-83.144251,42.415908,RNT2019-01456,2019/02/27 00:00:00+00,16021722.,-83.144251,42.415908,30548,16883,,MONICA,84675
,,RNT2019-01457,2019/02/27 00:00:00+00,,,,30549,10681,,STRATMANN,
-83.041926,42.414541,RNT2019-01462,2019/02/27 00:00:00+00,13012742.,-83.041926,42.414541,30550,13227,,GABLE,270849
-82.931282,42.404587,RNT2019-01466,2019/02/27 00:00:00+00,21073973.,-82.931282,42.404587,30551,4866,,GRAYTON,319796
-82.957043,42.413345,RNT2019-01467,2020/04/13 00:00:00+00,21064755.,-82.957043,42.413345,30552,10336,,LAKEPOINTE,301730
-82.948406,42.417828,RNT2019-01468,2019/02/27 00:00:00+00,21067376.,-82.948406,42.417828,30553,10505,,SOMERSET,293928
-83.238812,42.401466,RNT2019-01470,2019/02/27 00:00:00+00,22098297.,-83.238812,42.401466,30554,15335,,VAUGHAN,128553
-83.006225,42.413364,RNT2019-01472,2019/02/27 00:00:00+00,21013395.,-83.006225,42.413364,30555,11071,,MINDEN,230157
,,RNT2019-01473,2019/02/27 00:00:00+00,,,,30556,10696,,STRATMANN,
-83.23593,42.401322,RNT2019-01476,2019/02/27 00:00:00+00,22093933.,-83.23593,42.401322,30557,15336,,PLAINVIEW,127166
-83.240532,42.40591,RNT2019-01488,2020/04/23 00:00:00+00,22100223.,-83.240532,42.40591,30558,15778,,Kentfield,128370
,,RNT2019-01503,2020/04/09 00:00:00+00,,,,30559,12610,,Riad,
,,RNT2019-01526,2019/03/02 00:00:00+00,,,,30560,14209,,ASBURY PARK,
-82.990316,42.435903,RNT2019-01536,2020/07/22 00:00:00+00,21030833.,-82.990316,42.435903,30561,19171,,Joann,221605
-82.982076,42.448813,RNT2019-01540,2020/07/21 00:00:00+00,21027584.,-82.982076,42.448813,30562,13851,,Carlisle,184830
-82.995629,42.349459,RNT2019-01544,2019/03/02 00:00:00+00,17000018.,-82.995629,42.349459,30563,7800,EAST,JEFFERSON,242134
,,RNT2019-01547,2019/03/02 00:00:00+00,,,,30564,1531,WEST,WARREN,
-83.165868,42.439586,RNT2019-01549,2019/03/02 00:00:00+00,16042322.,-83.165868,42.439586,30565,19975,,BIRWOOD,25465
-82.934333,42.415181,RNT2019-01552,2019/03/02 00:00:00+00,21075431.,-82.934333,42.415181,30566,6134,,OLDTOWN,307827
-83.235057,42.34205,RNT2019-01554,2019/03/02 00:00:00+00,22095004.,-83.235057,42.34205,30567,6878,,EVERGREEN,159775
-83.021816,42.413124,RNT2019-01559,2019/03/02 00:00:00+00,17003640.,-83.021816,42.413124,30568,8086,,ALMONT,303369
-82.956025,42.436706,RNT2019-01562,2019/03/02 00:00:00+00,21021601.,-82.956025,42.436706,30569,15909,,MADDELEIN,149221
-83.017385,42.399388,RNT2019-01564,2019/03/02 00:00:00+00,19002993.,-83.017385,42.399388,30570,8603,,WOODLAWN,2
-83.178128,42.39861,RNT2019-01567,2019/03/02 00:00:00+00,22029238.,-83.178128,42.39861,30571,14891,,HARTWELL,85102
,,RNT2019-01569,2019/03/02 00:00:00+00,,,,30572,19366,,ROWE,
-83.023338,42.446736,RNT2019-01571,2019/03/02 00:00:00+00,17016671.,-83.023338,42.446736,30573,20440,,BRAMFORD,265222
-82.995988,42.386809,RNT2019-01573,2019/03/02 00:00:00+00,21038099.,-82.995988,42.386809,30574,5265,,GARLAND,301092
-83.027589,42.407964,RNT2019-01578,2019/03/02 00:00:00+00,15002891-2,-83.027589,42.407964,30575,7122,,PALMETTO,323153
-83.235802,42.368128,RNT2019-01580,2019/03/02 00:00:00+00,22095383-5,-83.235802,42.368128,30576,9962,,EVERGREEN,180556
-83.227142,42.356848,RNT2019-01582,2020/07/21 00:00:00+00,22085850.,-83.227142,42.356848,30577,8664,,Warwick,163807
-83.238585,42.356166,RNT2019-01583,2019/03/02 00:00:00+00,22099945.006,-83.238585,42.356166,30578,8629,,HEYDEN,162966
-82.975454,42.436221,RNT2019-01584,2019/03/02 00:00:00+00,21021485.,-82.975454,42.436221,30579,14383,,MADDELEIN,145360
-83.240927,42.402897,RNT2019-01585,2019/03/02 00:00:00+00,22100728.,-83.240927,42.402897,30580,15429,,KENTFIELD,128336
-83.211383,42.429457,RNT2019-01587,2019/03/02 00:00:00+00,22064089.024,-83.211383,42.429457,30581,18970,,BILTMORE,82825
-83.231682,42.425031,RNT2019-01589,2019/03/02 00:00:00+00,22088490.,-83.231682,42.425031,30582,18420,,GRANDVILLE,115203
-83.27,42.381174,RNT2019-01592,2020/07/06 00:00:00+00,22120898.,-83.27,42.381174,30583,12801,,Riverdale,112997
-83.269986,42.381288,RNT2019-01596,2020/07/06 00:00:00+00,22120897.,-83.269986,42.381288,30584,12811,,Riverdale,113013
-83.24043,42.403783,RNT2019-01597,2020/04/03 00:00:00+00,22100205.,-83.24043,42.403783,30585,15490,,Kentfield,128390
-82.938853,42.418482,RNT2019-01602,2019/03/04 00:00:00+00,21074853-4,-82.938853,42.418482,30586,10041,,BRITAIN,295340
-83.271192,42.381583,RNT2019-01606,2020/07/06 00:00:00+00,22121312.,-83.271192,42.381583,30587,12837,,Virgil,113105
-82.914776,42.413357,RNT2019-01611,2019/03/04 00:00:00+00,21078617.,-82.914776,42.413357,30588,5039,,LAFONTAINE,320734
-83.270722,42.382919,RNT2019-01616,2020/07/06 00:00:00+00,22120995.,-83.270722,42.382919,30589,12930,,Virgil,113989
-82.917077,42.414703,RNT2019-01617,2019/03/04 00:00:00+00,21078602.,-82.917077,42.414703,30590,5284,,LAFONTAINE,323607
-83.271239,42.383015,RNT2019-01619,2020/07/06 00:00:00+00,22121299.,-83.271239,42.383015,30591,12939,,Virgil,114114
-83.189349,42.422192,RNT2019-01621,2019/03/04 00:00:00+00,22039272-3,-83.189349,42.422192,30592,18020,,HUBBELL,66037
-83.272342,42.379627,RNT2019-01623,2019/03/04 00:00:00+00,22121569.,-83.272342,42.379627,30593,12655,,APPLETON,111722
