X,Y,record_id,record_status_date,parcel_id,lon,lat,ObjectId,address_id,street_num,street_dir,street_name
,,ANN2004-05573,2022/04/28 00:00:00+00,,,,92,,14430,,JOY ROAD
,,ANN2004-05574,2022/02/24 00:00:00+00,,,,93,,14441,,JOY ROAD
,,ANN2004-05576,2019/08/12 00:00:00+00,,,,94,,14411,,JOY ROAD
,,ANN2004-05578,2021/12/08 00:00:00+00,,,,95,,14516,,JOY
,,ANN2004-05584,2022/07/25 00:00:00+00,,,,96,,20900,,JOY ROAD
-83.009085,42.343651,ANN2004-05586,2019/12/17 00:00:00+00,15000021.,-83.009085,42.343651,97,240564,6340,E,JEFFERSON
-82.994831,42.352213,ANN2004-05594,2022/11/15 00:00:00+00,17000050.,-82.994831,42.352213,98,329384,8005,E,JEFFERSON
-83.094357,42.304451,ANN2004-05614,2022/07/29 00:00:00+00,16014149-51,-83.094357,42.304451,99,4456,425,S,CAMPBELL
-82.968918,42.403628,ANN2004-05624,2020/11/05 00:00:00+00,21004340-2,-82.968918,42.403628,100,247282,13929,,HARPER
,,ANN2004-05636,2021/06/24 00:00:00+00,,,,101,,15103,E,Warren
-83.020808,42.44798,ANN2004-05637,2022/05/06 00:00:00+00,17005740.001,-83.020808,42.44798,102,269452,8230,E,EIGHT MILE
-83.103869,42.321186,ANN2004-05639,2021/08/04 00:00:00+00,16012909-11,-83.103869,42.321186,103,220188,2302,,JUNCTION
-83.071843,42.44685,ANN2004-05642,2021/10/12 00:00:00+00,13009206-9,-83.071843,42.44685,104,348960,3110,E,EIGHT MILE
-83.049179,42.329372,ANN2004-05653,2019/01/29 00:00:00+00,02000169-70,-83.049179,42.329372,105,26245,211,W,FORT
-82.958124,42.419347,ANN2004-05655,2022/05/02 00:00:00+00,21072384.,-82.958124,42.419347,106,303404,11300,,WHITTIER
-83.278609,42.425342,ANN2004-05656,2019/03/25 00:00:00+00,22007716-23,-83.278609,42.425342,107,109449,24200,W,GRAND RIVER
-83.229986,42.40569,ANN2004-05663,2022/09/20 00:00:00+00,22008046-52,-83.229986,42.40569,108,122803,19172,W,GRAND RIVER
-83.199414,42.429064,ANN2004-05673,2021/08/26 00:00:00+00,22050251-4,-83.199414,42.429064,109,62643,18930,,GREENFIELD
-83.074608,42.433617,ANN2004-05681,2022/08/31 00:00:00+00,,-83.074608,42.433617,110,348874,2847,E,SEVEN MILE
,,ANN2004-05694,2022/05/02 00:00:00+00,,,,111,,20111,,JOY ROAD
-83.174645,42.416892,ANN2004-05712,2021/10/12 00:00:00+00,22014138-41,-83.174645,42.416892,112,67677,13110,,MCNICHOLS
-83.175155,42.416863,ANN2004-05718,2021/06/28 00:00:00+00,22014135-7,-83.175155,42.416863,113,67689,13140,W,MCNICHOLS
-83.112332,42.301973,ANN2004-05720,2022/05/02 00:00:00+00,18008906.,-83.112332,42.301973,114,539164,216,,GREEN
-83.178693,42.401875,ANN2004-05722,2019/05/16 00:00:00+00,22010681-7,-83.178693,42.401875,115,86695,13531,,FENKELL
,,ANN2004-05736,2022/09/20 00:00:00+00,,,,116,,160,W,FORT
-83.130491,42.364938,ANN2004-05750,2019/10/29 00:00:00+00,16004905-7,-83.130491,42.364938,117,53793,9137,,GRAND RIVER
-82.964575,42.405235,ANN2004-05751,2022/03/10 00:00:00+00,21004374.,-82.964575,42.405235,118,232409,14401,,HARPER
,,ANN2004-05755,2019/11/22 00:00:00+00,,,,119,,18451,,MACK
-83.085091,42.439797,ANN2004-05761,2020/01/15 00:00:00+00,09007866-75,-83.085091,42.439797,120,535716,1750,E,STATE FAIR
-83.083546,42.4404,ANN2004-05769,2022/07/14 00:00:00+00,09008183-9,-83.083546,42.4404,121,535779,1841,E,STATE FAIR
-83.257094,42.442876,ANN2004-05775,2022/04/19 00:00:00+00,22019029.015,-83.257094,42.442876,122,101326,21631,W,EIGHT MILE
-83.133308,42.293131,ANN2004-05779,2021/12/08 00:00:00+00,20005706-7,-83.133308,42.293131,123,3323,9607,,DEARBORN
-83.009954,42.434465,ANN2004-05781,2019/01/31 00:00:00+00,17005154.,-83.009954,42.434465,124,535165,11201,E,SEVEN MILE
-83.16055,42.416077,ANN2004-05828,2022/09/09 00:00:00+00,16038278-80,-83.16055,42.416077,125,94442,16907,,WYOMING
-82.990763,42.434542,ANN2004-05833,2021/12/23 00:00:00+00,21020812.,-82.990763,42.434542,126,351104,13016,E,SEVEN MILE
-83.141587,42.445372,ANN2004-05851,2021/07/12 00:00:00+00,02004526-7,-83.141587,42.445372,127,115299,20510,,LIVERNOIS
-83.159888,42.41313,ANN2004-05853,2022/03/21 00:00:00+00,16037585.,-83.159888,42.41313,128,538229,16564,,WYOMING
-82.955321,42.417568,ANN2004-05855,2022/03/15 00:00:00+00,21072520-4,-82.955321,42.417568,129,296884,10845,,WHITTIER
-83.040094,42.420062,ANN2004-05857,2019/01/23 00:00:00+00,13007368.003,-83.040094,42.420062,130,471114,6201,E,MCNICHOLS
-82.954781,42.417767,ANN2004-05868,2019/07/31 00:00:00+00,,-82.954781,42.417767,131,350688,10900,,WHITTIER
-83.001047,42.447776,ANN2004-05878,2022/05/24 00:00:00+00,21028412-0,-83.001047,42.447776,132,350908,12230,E,EIGHT MILE
-83.160072,42.413048,ANN2004-05883,2022/03/15 00:00:00+00,16037583-4,-83.160072,42.413048,133,352106,16560,,WYOMING
-82.987396,42.449014,ANN2004-05895,2019/12/03 00:00:00+00,21028280-3,-82.987396,42.449014,134,181677,13430,E,EIGHT MILE
-83.178799,42.43086,ANN2004-05920,2021/10/15 00:00:00+00,22015957-67,-83.178799,42.43086,135,220551,13403,W,SEVEN MILE
-83.179871,42.43084,ANN2004-05922,2022/05/04 00:00:00+00,22015973-4,-83.179871,42.43084,136,351234,13527,W,SEVEN MILE
-82.967447,42.420541,ANN2004-05926,2021/01/13 00:00:00+00,21014335-7,-82.967447,42.420541,137,351684,15000,,HOUSTON-WHITTIER
-82.963071,42.362996,ANN2004-05940,2021/03/09 00:00:00+00,21044896.,-82.963071,42.362996,138,507919,11785,,FREUD
-82.977499,42.363176,ANN2004-05954,2020/12/02 00:00:00+00,21000485-0,-82.977499,42.363176,139,337875,10520,E,JEFFERSON
-83.004443,42.44224,ANN2004-05963,2019/05/16 00:00:00+00,21036328-30,-83.004443,42.44224,140,225615,19920,,HOOVER
-83.007423,42.443169,ANN2004-05964,2022/07/05 00:00:00+00,,-83.007423,42.443169,141,352964,19951,,HOOVER
-83.004223,42.448365,ANN2004-05977,2020/09/28 00:00:00+00,21036382.,-83.004223,42.448365,142,353123,20580,,HOOVER
,,ANN2004-05978,2020/03/13 00:00:00+00,,,,143,,19349,,JOY ROAD
-83.011421,42.436818,ANN2004-05981,2021/07/06 00:00:00+00,17005151.,-83.011421,42.436818,144,205681,11171,,LAPPIN
-83.014023,42.440457,ANN2004-06022,2020/01/28 00:00:00+00,17005736.,-83.014023,42.440457,145,266520,11010,E,STATE FAIR
,,ANN2004-06024,2020/12/10 00:00:00+00,,,,146,,10025,,JOY ROAD
-83.008171,42.389034,ANN2004-06030,2021/07/30 00:00:00+00,19001706.002L,-83.008171,42.389034,147,350367,9157,,GRATIOT
-83.153375,42.402359,ANN2004-06103,2021/12/15 00:00:00+00,16006970-2,-83.153375,42.402359,148,94955,8343,,FENKELL
-83.157638,42.402363,ANN2004-06106,2021/10/07 00:00:00+00,16007004-5,-83.157638,42.402363,149,91686,8801,,FENKELL
-83.061458,42.32548,ANN2004-06143,2019/07/02 00:00:00+00,06000046-8,-83.061458,42.32548,150,284918,1425,W,LAFAYETTE
-83.202835,42.423303,ANN2004-06159,2019/06/25 00:00:00+00,22015281-2,-83.202835,42.423303,151,351909,15800,,CURTIS
-83.192192,42.37744,ANN2004-06175,2019/10/15 00:00:00+00,22044788-9,-83.192192,42.37744,152,468890,14800,,CASTLETON
-83.193841,42.376589,ANN2004-06187,2022/10/27 00:00:00+00,22045638.,-83.193841,42.376589,153,351721,15100,,CASTLETON
,,ANN2004-06190,2022/03/03 00:00:00+00,,,,154,,1957,W,LAFAYETTE
-83.1952,42.376882,ANN2004-06205,2022/11/09 00:00:00+00,22006549.,-83.1952,42.376882,155,537955,15240,,CASTLETON
-83.06881,42.322544,ANN2004-06206,2021/12/10 00:00:00+00,08000041.,-83.06881,42.322544,156,348570,2001,,LAFAYETTE
-83.200231,42.431301,ANN2004-06212,2022/01/21 00:00:00+00,22050549-74,-83.200231,42.431301,157,64867,19141,,GREENFIELD
-83.161499,42.402271,ANN2004-06228,2022/06/14 00:00:00+00,16007016-23,-83.161499,42.402271,158,350542,10101,,FENKELL
-83.064159,42.330865,ANN2004-06239,2022/09/01 00:00:00+00,06000361-4,-83.064159,42.330865,159,238973,1301,,LEVERETTE
-83.073005,42.365062,ANN2004-06240,2022/07/13 00:00:00+00,02001069-71,-83.073005,42.365062,160,335692,440,,BURROUGHS
-83.063276,42.331716,ANN2004-06245,2022/06/07 00:00:00+00,06000420.,-83.063276,42.331716,161,239000,1254,,MICHIGAN
-83.121141,42.368533,ANN2004-06253,2022/02/28 00:00:00+00,14006668.,-83.121141,42.368533,162,540604,9132,,QUINCY
,,ANN2004-06257,2022/06/20 00:00:00+00,,,,163,,8000,W,OUTER DRIVE
-82.997158,42.4061,ANN2004-06260,2022/10/26 00:00:00+00,21028859-62,-82.997158,42.4061,164,232814,10993,,GRATIOT
-83.065765,42.331717,ANN2004-06284,2021/06/22 00:00:00+00,06000410.,-83.065765,42.331717,165,239140,1400,,MICHIGAN
-83.185006,42.409415,ANN2004-06291,2021/05/12 00:00:00+00,22012311-6,-83.185006,42.409415,166,139857,14200,,PURITAN
-83.196926,42.343923,ANN2004-06305,2019/06/12 00:00:00+00,22000918-21,-83.196926,42.343923,167,215827,15530,W,WARREN
-83.067386,42.331104,ANN2004-06316,2019/04/08 00:00:00+00,08000505-6,-83.067386,42.331104,168,238972,1501,,MICHIGAN
-83.198399,42.343289,ANN2004-06330,2022/08/31 00:00:00+00,22000058-62,-83.198399,42.343289,169,215807,15651,W,WARREN
,,ANN2004-06354,2022/05/02 00:00:00+00,,,,170,,11850,,GRATIOT
